start_date,end_date,value,device
2024-11-04 00:13:01+01:00,2024-11-04 00:31:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 00:31:31+01:00,2024-11-04 00:43:01+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-04 00:43:01+01:00,2024-11-04 00:49:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 00:49:01+01:00,2024-11-04 00:59:01+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-04 00:59:01+01:00,2024-11-04 01:07:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 01:07:31+01:00,2024-11-04 01:25:01+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-04 01:25:01+01:00,2024-11-04 01:33:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 01:33:31+01:00,2024-11-04 01:44:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 00:13:01+01:00,2024-11-04 01:44:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-04 01:44:31+01:00,2024-11-04 01:45:31+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-04 01:45:31+01:00,2024-11-04 02:50:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 01:45:31+01:00,2024-11-04 02:50:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-04 02:50:31+01:00,2024-11-04 02:54:01+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-04 02:54:01+01:00,2024-11-04 02:56:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 02:56:31+01:00,2024-11-04 03:14:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 03:14:01+01:00,2024-11-04 04:28:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 04:28:01+01:00,2024-11-04 04:29:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 04:29:31+01:00,2024-11-04 04:37:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 04:37:01+01:00,2024-11-04 04:41:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 02:54:01+01:00,2024-11-04 04:41:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-04 04:41:31+01:00,2024-11-04 04:42:01+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-04 04:42:01+01:00,2024-11-04 05:30:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 05:30:01+01:00,2024-11-04 06:05:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 06:05:01+01:00,2024-11-04 06:42:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 06:42:01+01:00,2024-11-04 06:49:31+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-04 06:49:31+01:00,2024-11-04 07:15:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 07:15:31+01:00,2024-11-04 07:20:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 07:20:01+01:00,2024-11-04 07:21:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 07:21:31+01:00,2024-11-04 07:35:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 07:35:01+01:00,2024-11-04 07:35:31+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 07:35:31+01:00,2024-11-04 07:37:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 07:37:31+01:00,2024-11-04 07:49:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 07:49:01+01:00,2024-11-04 07:55:01+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 07:55:01+01:00,2024-11-04 08:09:01+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-04 08:09:01+01:00,2024-11-04 08:13:31+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-11-04 04:42:01+01:00,2024-11-04 08:13:31+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-05 00:20:17+01:00,2024-11-05 00:23:47+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-05 00:20:17+01:00,2024-11-05 00:23:47+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-05 00:23:47+01:00,2024-11-05 00:26:47+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-05 00:26:47+01:00,2024-11-05 00:32:47+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-05 00:26:47+01:00,2024-11-05 00:32:47+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-05 00:32:47+01:00,2024-11-05 00:33:17+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-11-05 00:33:17+01:00,2024-11-05 00:46:17+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-05 00:46:17+01:00,2024-11-05 01:09:17+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-05 01:09:17+01:00,2024-11-05 01:12:17+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-05 01:12:17+01:00,2024-11-05 01:35:47+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-11-05 01:35:47+01:00,2024-11-05 01:36:47+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-11-05 00:33:17+01:00,2024-11-05 01:36:47+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-11-05 01:36:47+01:00,2024-11-05 01:37:17+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
